Q9_1,Q9_2,Q9_3,HeadAcc,RawAX,RawAY,RawAZ,RawGX,RawGY,RawGZ,RawMX,RawMY,RawMZ,lon,lat,utc_datetime,ME
-0.73517,-0.58484,0.30832,297,-2410,-4446,-6354,-111,16,49,-272,431,56,,,2024-06-27T20:48:03.550Z,M
-0.73588,-0.58468,0.30734,297,-2586,-4424,-6186,-126,60,71,-274,433,67,,,2024-06-27T20:48:03.570Z,M
-0.736,-0.58455,0.30764,297,-2392,-4240,-6360,-23,-58,45,-279,438,65,,,2024-06-27T20:48:03.590Z,M
-0.73578,-0.58478,0.30807,297,-2480,-4108,-6778,-13,-87,-4,-276,433,62,,,2024-06-27T20:48:03.610Z,M
-0.73571,-0.58520,0.3079,297,-2376,-4312,-6766,-81,-53,-4,-278,434,69,,,2024-06-27T20:48:03.630Z,M
-0.73538,-0.58591,0.30793,297,-2200,-4398,-6678,5,-95,6,-280,423,69,,,2024-06-27T20:48:03.650Z,M
-0.73482,-0.58621,0.30958,297,-2362,-4588,-6864,-33,-270,35,-274,433,62,,,2024-06-27T20:48:03.670Z,M
-0.73465,-0.58657,0.31031,297,-2686,-4672,-6690,-123,-192,54,-270,426,71,,,2024-06-27T20:48:03.690Z,M
-0.73522,-0.58661,0.30971,297,-2732,-4428,-6162,-187,-41,81,-283,431,56,,,2024-06-27T20:48:03.710Z,M
-0.73576,-0.58641,0.30932,297,-2580,-4132,-5846,-111,-11,83,-272,431,64,,,2024-06-27T20:48:03.730Z,M
-0.73579,-0.58633,0.30969,297,-2430,-3986,-6156,-11,-59,40,-276,427,67,,,2024-06-27T20:48:03.750Z,M
-0.73584,-0.58632,0.30976,297,-2432,-4016,-6332,-16,-28,23,-283,434,71,,,2024-06-27T20:48:03.770Z,M
-0.73568,-0.58690,0.30939,297,-2478,-4112,-6838,-26,-58,-18,-279,438,70,,,2024-06-27T20:48:03.790Z,M
-0.73545,-0.58735,0.30923,297,-2564,-4106,-6628,-32,-18,-36,-276,433,75,,,2024-06-27T20:48:03.810Z,M
-0.73513,-0.58756,0.30992,297,-2486,-4292,-7012,3,-114,-2,-281,430,57,,,2024-06-27T20:48:03.830Z,M
-0.73449,-0.58781,0.31161,297,-2758,-4272,-6936,4,-248,20,-280,429,71,,,2024-06-27T20:48:03.850Z,M
-0.73413,-0.58813,0.31219,297,-2734,-4328,-5992,-29,-103,-14,-287,435,67,,,2024-06-27T20:48:03.870Z,M
-0.73433,-0.58814,0.31175,297,-2718,-4042,-5980,-33,41,5,-285,437,66,,,2024-06-27T20:48:03.890Z,M
-0.73417,-0.58799,0.31236,297,-2482,-4218,-6000,61,-37,12,-283,426,66,,,2024-06-27T20:48:03.920Z,M
-0.73396,-0.58801,0.31261,297,-2554,-4124,-6508,68,4,-27,-285,434,64,,,2024-06-27T20:48:03.940Z,M
-0.734,-0.58742,0.31307,297,-2618,-4342,-6652,112,27,34,-289,430,70,,,2024-06-27T20:48:03.960Z,M
-0.73403,-0.58715,0.31333,297,-2814,-4304,-6758,75,19,11,-276,438,72,,,2024-06-27T20:48:03.980Z,M
-0.73396,-0.58741,0.31293,297,-2806,-4230,-6694,-6,41,-34,-281,430,67,,,2024-06-27T20:48:04Z,M
-0.73361,-0.58801,0.31282,297,-2862,-4292,-6390,-48,-29,-52,-279,422,60,,,2024-06-27T20:48:04.020Z,M
-0.73342,-0.58808,0.31323,297,-2384,-4192,-6416,23,-51,5,-275,429,69,,,2024-06-27T20:48:04.040Z,M
-0.73323,-0.58797,0.31404,297,-2402,-4262,-6534,43,-88,28,-276,430,67,,,2024-06-27T20:48:04.060Z,M
